ticker,year,theme_0,theme_1,best_theme,best_score
AAPL,2019,0.7456271008952557,0.2543728991047442,theme_0,0.7456271008952557
ABBV,2019,1.0,7.752780156143837e-309,theme_0,1.0
ABT,2019,0.3030725894698325,0.6969274105301675,theme_1,0.6969274105301675
ACN,2019,0.8300889647997243,0.16991103520027587,theme_0,0.8300889647997243
ADBE,2019,0.9200464414332014,0.07995355856679873,theme_0,0.9200464414332014
AMD,2019,0.8390138857708721,0.1609861142291279,theme_0,0.8390138857708721
AMZN,2019,0.3724421125632653,0.6275578874367346,theme_1,0.6275578874367346
AVGO,2019,0.5538933846135019,0.39503963928480557,theme_0,0.5538933846135019
BAC,2019,6.428525870819614e-309,1.0,theme_1,1.0
BRK-B,2019,0.5387707560908597,0.30158339656571564,theme_0,0.5387707560908597
COST,2019,0.605253796557593,0.2823741947665767,theme_0,0.605253796557593
CRM,2019,1.0,3.40635147463703e-309,theme_0,1.0
CSCO,2019,0.5501576725318386,0.2922310955812884,theme_0,0.5501576725318386
CVX,2019,6.642949892730626e-309,1.0,theme_1,1.0
DIS,2019,0.4001007867301498,0.32017620759941484,theme_0,0.4001007867301498
GE,2019,1.0,6.295621453278006e-309,theme_0,1.0
GOOGL,2019,0.5764267890972181,0.31120120222695175,theme_0,0.5764267890972181
GS,2019,0.30465560528311386,0.3532346512374312,theme_1,0.3532346512374312
HD,2019,0.5362935813277555,0.3358704092151994,theme_0,0.5362935813277555
IBM,2019,0.7992122812107342,0.2007877187892658,theme_0,0.7992122812107342
INTU,2019,5.197498765039184e-309,1.0,theme_1,1.0
JNJ,2019,8.029635204456093e-309,1.0,theme_1,1.0
JPM,2019,0.3645237806104367,0.29243504095321043,theme_0,0.3645237806104367
KO,2019,1.0,3.5234678134675e-309,theme_0,1.0
LIN,2019,0.15757018374860823,0.8221268737356145,theme_1,0.8221268737356145
LLY,2019,0.8792386269173834,0.12076137308261663,theme_0,0.8792386269173834
MA,2019,0.7150966670703199,0.2849033329296799,theme_0,0.7150966670703199
MCD,2019,1.0,6.129323642645454e-309,theme_0,1.0
META,2019,1.0,3.40100411229645e-309,theme_0,1.0
MRK,2019,1.0,5.83028368218965e-309,theme_0,1.0
MS,2019,0.5463567328428491,0.3258072577001057,theme_0,0.5463567328428491
MSFT,2019,1.0,5.61564456981433e-309,theme_0,1.0
NEE,2019,1.0,3.63321369037954e-309,theme_0,1.0
NFLX,2019,0.5201184962223495,0.29160824706348526,theme_0,0.5201184962223495
NVDA,2019,0.5500154750248487,0.3376125162993211,theme_0,0.5500154750248487
ORCL,2019,0.43801377141564346,0.3502781418956974,theme_0,0.43801377141564346
PEP,2019,0.6555193180847976,0.20800347609113057,theme_0,0.6555193180847976
PG,2019,1.0,4.785318537634256e-309,theme_0,1.0
PM,2019,0.3486504448813211,0.651349555118679,theme_1,0.651349555118679
QCOM,2019,0.4033341683412006,0.4996212525223697,theme_1,0.4996212525223697
RTX,2019,0.32735461079581185,0.6726453892041881,theme_1,0.6726453892041881
SPGI,2019,0.24715197493285748,0.7528480250671425,theme_1,0.7528480250671425
TMO,2019,0.7851915320395253,0.21480846796047476,theme_0,0.7851915320395253
TSLA,2019,0.7582479086569563,0.24175209134304365,theme_0,0.7582479086569563
TXN,2019,6.601297323161987e-309,1.0,theme_1,1.0
UNH,2019,1.0,5.9201079873e-309,theme_0,1.0
V,2019,0.30394882251839445,0.6960511774816055,theme_1,0.6960511774816055
WFC,2019,5.94796849562845e-309,1.0,theme_1,1.0
WMT,2019,0.29127751077472364,0.6193754220740507,theme_1,0.6193754220740507
XOM,2019,0.18595646460965676,0.6879135481023737,theme_1,0.6879135481023737
