ticker,year,cluster,is_noise,top_theme,theme_label
AAPL,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
ABBV,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
ABT,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
ACN,2019,-1,True,-1,noise
ADBE,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
AMD,2019,1,False,1,"AMD, COST, KO, NEE, PEP"
AMZN,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
AVGO,2019,-1,True,-1,noise
BAC,2019,2,False,2,"BAC, CVX, WFC, XOM"
BRK-B,2019,-1,True,-1,noise
COST,2019,1,False,1,"AMD, COST, KO, NEE, PEP"
CRM,2019,4,False,4,"CRM, GOOGL, IBM, NVDA, ORCL"
CSCO,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
CVX,2019,2,False,2,"BAC, CVX, WFC, XOM"
DIS,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
GE,2019,0,False,0,"GE, HD, LIN, MCD, MS"
GOOGL,2019,4,False,4,"CRM, GOOGL, IBM, NVDA, ORCL"
GS,2019,-1,True,-1,noise
HD,2019,0,False,0,"GE, HD, LIN, MCD, MS"
IBM,2019,4,False,4,"CRM, GOOGL, IBM, NVDA, ORCL"
INTU,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
JNJ,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
JPM,2019,-1,True,-1,noise
KO,2019,1,False,1,"AMD, COST, KO, NEE, PEP"
LIN,2019,0,False,0,"GE, HD, LIN, MCD, MS"
LLY,2019,-1,True,-1,noise
MA,2019,-1,True,-1,noise
MCD,2019,0,False,0,"GE, HD, LIN, MCD, MS"
META,2019,-1,True,-1,noise
MRK,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
MS,2019,0,False,0,"GE, HD, LIN, MCD, MS"
MSFT,2019,-1,True,-1,noise
NEE,2019,1,False,1,"AMD, COST, KO, NEE, PEP"
NFLX,2019,-1,True,-1,noise
NVDA,2019,4,False,4,"CRM, GOOGL, IBM, NVDA, ORCL"
ORCL,2019,4,False,4,"CRM, GOOGL, IBM, NVDA, ORCL"
PEP,2019,1,False,1,"AMD, COST, KO, NEE, PEP"
PG,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
PM,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
QCOM,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
RTX,2019,-1,True,-1,noise
SPGI,2019,-1,True,-1,noise
TMO,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
TSLA,2019,-1,True,-1,noise
TXN,2019,4,False,4,"CRM, GOOGL, IBM, NVDA, ORCL"
UNH,2019,3,False,3,"ABBV, ABT, JNJ, MRK, PG"
V,2019,5,False,5,"AAPL, ADBE, AMZN, CSCO, DIS"
WFC,2019,2,False,2,"BAC, CVX, WFC, XOM"
WMT,2019,-1,True,-1,noise
XOM,2019,2,False,2,"BAC, CVX, WFC, XOM"
